iter	Passed	Remaining
0	4	1122
1	8	1198
2	13	1192
3	17	1179
4	21	1189
5	26	1194
6	30	1183
7	34	1180
8	39	1178
9	43	1169
10	47	1156
11	51	1151
12	56	1144
13	60	1144
14	65	1149
15	69	1141
16	74	1137
17	78	1129
18	82	1128
19	86	1118
20	91	1115
21	95	1107
22	99	1102
23	103	1096
24	107	1092
25	112	1085
26	116	1079
27	120	1075
28	124	1070
29	129	1070
30	134	1068
31	138	1068
32	143	1062
33	148	1062
34	152	1059
35	156	1054
36	161	1049
37	165	1044
38	170	1044
39	175	1041
40	179	1038
41	184	1036
42	188	1029
43	192	1022
44	196	1018
45	201	1014
46	205	1012
47	210	1008
48	215	1004
49	219	1002
50	224	998
51	229	996
52	233	992
53	238	987
54	242	982
55	246	978
56	251	974
57	256	971
58	260	967
59	265	964
60	270	961
61	274	956
62	279	952
63	283	947
64	287	942
65	291	937
66	296	933
67	301	930
68	306	927
69	310	923
70	315	919
71	320	915
72	324	911
73	329	908
74	334	905
75	339	903
76	344	899
77	349	896
78	354	893
79	359	890
80	364	886
81	369	882
82	374	879
83	379	875
84	384	872
85	388	868
86	394	865
87	398	861
88	404	858
89	408	854
90	413	850
91	419	847
92	423	843
93	428	839
94	433	834
95	438	831
96	443	827
97	448	823
98	453	820
99	458	816
100	463	812
101	468	808
102	473	803
103	478	799
104	482	795
105	487	791
106	493	788
107	498	784
108	503	780
109	508	776
110	512	771
111	517	766
112	521	761
113	525	756
114	529	750
115	534	746
116	539	741
117	543	737
118	548	732
119	552	727
120	556	722
121	560	717
122	565	712
123	570	708
124	574	703
125	578	698
126	583	693
127	588	689
128	592	684
129	596	679
130	601	674
131	605	669
132	610	665
133	616	662
134	621	658
135	625	653
136	630	648
137	634	643
138	638	638
139	642	633
140	647	629
141	651	624
142	656	619
143	660	614
144	664	609
145	669	605
146	674	600
147	678	596
148	683	591
149	687	586
150	692	582
151	696	577
152	701	572
153	706	568
154	711	564
155	715	559
156	719	554
157	724	549
158	728	545
159	733	540
160	737	536
161	741	531
162	746	526
163	750	522
164	754	516
165	758	512
166	763	507
167	768	503
168	772	498
169	777	493
170	782	489
171	786	484
172	790	479
173	794	475
174	799	470
175	804	466
176	809	461
177	813	457
178	817	452
179	822	447
180	827	443
181	831	438
182	835	433
183	839	429
184	844	424
185	848	419
186	853	415
187	858	410
188	863	406
189	867	401
190	871	397
191	876	392
192	880	387
193	885	383
194	890	378
195	894	374
196	898	369
197	903	365
198	907	360
199	912	355
200	917	351
201	921	346
202	926	342
203	930	337
204	934	332
205	938	328
206	943	323
207	948	319
208	952	314
209	956	309
210	961	305
211	965	300
212	971	296
213	975	291
214	979	287
215	983	282
216	988	277
217	993	273
218	997	268
219	1002	264
220	1006	259
221	1010	254
222	1014	250
223	1019	245
224	1023	241
225	1027	236
226	1031	231
227	1036	227
228	1041	222
229	1045	218
230	1050	213
231	1054	209
232	1058	204
233	1063	199
234	1067	195
235	1072	190
236	1077	186
237	1081	181
238	1086	177
239	1090	172
240	1094	168
241	1099	163
242	1103	158
243	1108	154
244	1112	149
245	1117	145
246	1122	140
247	1126	136
248	1131	131
249	1136	127
250	1140	122
251	1144	118
252	1149	113
253	1152	108
254	1157	104
255	1162	99
256	1167	95
257	1171	90
258	1175	86
259	1180	81
260	1185	77
261	1189	72
262	1193	68
263	1198	63
264	1202	59
265	1207	54
266	1211	49
267	1216	45
268	1220	40
269	1225	36
270	1229	31
271	1233	27
272	1238	22
273	1243	18
274	1248	13
275	1252	9
276	1257	4
277	1261	0
